price,image,quantity_available,name,description,avg_rating,user_id,active,category_id
60,https://cdn.shopify.com/s/files/1/0758/2735/products/TB1slR3JVXXXXbsXVXXXXXXXXXX__0-item_pic.jpg?v=1534937389,10,Bowsii MJ,Delightfully dressy Mary Janes for your next tea paaarrrtte,0,1,true,6
50,https://d1nr5wevwcuzuv.cloudfront.net/product_photos/32510889/T2Gs20XaFaXXXXXXXX_!!12789126_original.jpg,10,Playful Rabbit,Cute and retro for your next kawaii adventure,0,1,true,6
45,https://cdn.shopify.com/s/files/1/2420/5055/products/product-image-240638197_800x.jpg?v=1530833053,10,Mint Ice Dreamy,Carry summer with you everywhere you go with these ice cream cone patterned casual sneaks,0,1,true,6
60,http://a2.fanbread.com/uploads/image/file/15212/extra_large_shoes_9.jpg?5a2ae58d6f9a919141d9ab57cc9d7de8,10,Pony Chops,Chantal over at Pony-Chops hand painted these cosplay shoes for a kawaii obsessed friend,0,2,true,6
40,https://d3u67r7pp2lrq5.cloudfront.net/product_photos/25592829/181_original.jpg,10,Lolita Lace,Time to play dress up with your besties,0,2,true,6
15,https://d2h1pu99sxkfvn.cloudfront.net/b0/4472065/369738546_TKOLSyoflE/P0.jpg,20,Little Twin Stars lanyard,Let the Twin Stars keep your travel pass safe,0,2,true,8
20,https://www.picclickimg.com/d/l400/pict/271995172532_/JETOY-Choo-Choo-Cat-Petit-Transparent-Passport-Cover.jpg,20,Choo Choo Cat Passport,Let Choo Choo Cat lead your next adventure and keep your passport,0,3,true,8
15,https://images-na.ssl-images-amazon.com/images/I/51FEWy6IpeL.jpg,10,Critter Luggage Tag,Kawaii Critter Tags to identify your luggage,0,4,true,8
20,http://g01.a.alicdn.com/kf/HTB1hMJRMXXXXXXFXXXXq6xXFXXXC/Creative-kawaii-rhinestone-monchichi-keychain-doll-pendant-car-key-ring-women-handbag-bag-charm-key-chains.jpg,10,Monchichi ChiChain,Monchichi is sweet to hold in your hands with your keys,0,4,true,8
40,https://78.media.tumblr.com/d003d0b62268bc4007d25eb14836c6f2/tumblr_mr529nSuCQ1s9dgawo1_500.jpg,10,Sparkly Pepper,Protect yourself during your travels with this stylin pepper spray,0,4,true,8
